[Mon Apr 20 03:55:42 PM EDT 2026] GPU=1 model=phi_4_mini_reasoning dataset=arc_challenge strategy=zero_shot max_new_tokens=256

--- model=phi_4_mini_reasoning dataset=arc_challenge strategy=zero_shot n=500 ---
[19/500] sample_id=50 correct=1 latency=3.291s tokens=87 tps=26.43
[20/500] sample_id=55 correct=1 latency=2.499s tokens=66 tps=26.41
[21/500] sample_id=56 correct=0 latency=2.796s tokens=74 tps=26.46
[22/500] sample_id=57 correct=1 latency=3.206s tokens=85 tps=26.51
[23/500] sample_id=58 correct=0 latency=5.613s tokens=149 tps=26.55
[24/500] sample_id=59 correct=1 latency=2.193s tokens=58 tps=26.45
[25/500] sample_id=60 correct=0 latency=4.193s tokens=111 tps=26.47
[26/500] sample_id=62 correct=0 latency=3.469s tokens=92 tps=26.52
[27/500] sample_id=66 correct=0 latency=4.123s tokens=109 tps=26.44
[28/500] sample_id=67 correct=1 latency=3.657s tokens=97 tps=26.53
[29/500] sample_id=68 correct=1 latency=3.525s tokens=94 tps=26.66
[30/500] sample_id=69 correct=1 latency=2.400s tokens=64 tps=26.66
[31/500] sample_id=72 correct=1 latency=2.808s tokens=75 tps=26.71
[32/500] sample_id=73 correct=1 latency=3.916s tokens=105 tps=26.81
[33/500] sample_id=76 correct=0 latency=5.778s tokens=155 tps=26.83
[34/500] sample_id=78 correct=0 latency=5.656s tokens=151 tps=26.70
[35/500] sample_id=80 correct=1 latency=4.284s tokens=114 tps=26.61
[36/500] sample_id=84 correct=0 latency=4.016s tokens=107 tps=26.64
[37/500] sample_id=89 correct=1 latency=3.379s tokens=90 tps=26.63
[38/500] sample_id=90 correct=1 latency=4.101s tokens=109 tps=26.58
[39/500] sample_id=91 correct=0 latency=2.752s tokens=73 tps=26.52
[40/500] sample_id=92 correct=1 latency=4.104s tokens=109 tps=26.56
[41/500] sample_id=97 correct=1 latency=3.615s tokens=96 tps=26.56
[42/500] sample_id=99 correct=0 latency=5.903s tokens=157 tps=26.60
[43/500] sample_id=100 correct=1 latency=3.914s tokens=104 tps=26.57
[44/500] sample_id=101 correct=1 latency=3.123s tokens=83 tps=26.58
[45/500] sample_id=107 correct=1 latency=6.655s tokens=177 tps=26.60
[46/500] sample_id=112 correct=1 latency=2.407s tokens=64 tps=26.59
[47/500] sample_id=113 correct=1 latency=2.358s tokens=63 tps=26.72
[48/500] sample_id=115 correct=0 latency=19.790s tokens=512 tps=25.87
[49/500] sample_id=121 correct=1 latency=3.393s tokens=90 tps=26.53
[50/500] sample_id=122 correct=0 latency=5.536s tokens=147 tps=26.55
[51/500] sample_id=125 correct=1 latency=3.499s tokens=93 tps=26.58
[52/500] sample_id=126 correct=1 latency=1.887s tokens=50 tps=26.50
[53/500] sample_id=132 correct=1 latency=2.602s tokens=69 tps=26.52
[54/500] sample_id=134 correct=1 latency=2.151s tokens=57 tps=26.50
[55/500] sample_id=143 correct=1 latency=4.895s tokens=130 tps=26.56
[56/500] sample_id=144 correct=1 latency=20.019s tokens=512 tps=25.58
[57/500] sample_id=147 correct=1 latency=5.059s tokens=135 tps=26.68
[58/500] sample_id=149 correct=0 latency=3.950s tokens=106 tps=26.83
[59/500] sample_id=153 correct=1 latency=19.902s tokens=512 tps=25.73
[60/500] sample_id=155 correct=1 latency=6.164s tokens=164 tps=26.61
[61/500] sample_id=157 correct=0 latency=4.885s tokens=130 tps=26.61
[62/500] sample_id=160 correct=1 latency=3.467s tokens=92 tps=26.54
[63/500] sample_id=168 correct=1 latency=2.305s tokens=61 tps=26.46
[64/500] sample_id=170 correct=1 latency=3.320s tokens=88 tps=26.50
[65/500] sample_id=172 correct=1 latency=4.895s tokens=130 tps=26.56
[66/500] sample_id=174 correct=0 latency=6.358s tokens=169 tps=26.58
[67/500] sample_id=176 correct=1 latency=3.428s tokens=91 tps=26.55
[68/500] sample_id=177 correct=0 latency=19.862s tokens=512 tps=25.78
[69/500] sample_id=179 correct=1 latency=2.202s tokens=59 tps=26.79
[70/500] sample_id=184 correct=0 latency=5.701s tokens=153 tps=26.84
[71/500] sample_id=185 correct=1 latency=2.580s tokens=69 tps=26.74
[72/500] sample_id=187 correct=1 latency=3.215s tokens=86 tps=26.75
[73/500] sample_id=188 correct=1 latency=19.762s tokens=512 tps=25.91
[74/500] sample_id=190 correct=1 latency=2.451s tokens=65 tps=26.52
[75/500] sample_id=192 correct=0 latency=5.646s tokens=150 tps=26.57
[76/500] sample_id=202 correct=1 latency=2.471s tokens=66 tps=26.71
[77/500] sample_id=205 correct=0 latency=19.956s tokens=512 tps=25.66
[78/500] sample_id=207 correct=1 latency=4.374s tokens=117 tps=26.75
[79/500] sample_id=210 correct=1 latency=5.909s tokens=158 tps=26.74
[80/500] sample_id=212 correct=1 latency=3.556s tokens=95 tps=26.72
[81/500] sample_id=213 correct=1 latency=5.930s tokens=159 tps=26.81
[82/500] sample_id=214 correct=1 latency=9.844s tokens=262 tps=26.61
[83/500] sample_id=220 correct=1 latency=3.374s tokens=90 tps=26.67
[84/500] sample_id=221 correct=1 latency=3.738s tokens=100 tps=26.76
[85/500] sample_id=222 correct=1 latency=2.246s tokens=60 tps=26.72
[86/500] sample_id=231 correct=1 latency=2.471s tokens=66 tps=26.71
[87/500] sample_id=235 correct=1 latency=2.547s tokens=68 tps=26.70
[88/500] sample_id=237 correct=1 latency=2.544s tokens=68 tps=26.73
[89/500] sample_id=238 correct=0 latency=3.535s tokens=94 tps=26.59
[90/500] sample_id=239 correct=1 latency=4.968s tokens=132 tps=26.57
[91/500] sample_id=241 correct=1 latency=3.285s tokens=87 tps=26.48
[92/500] sample_id=243 correct=1 latency=4.010s tokens=106 tps=26.43
[93/500] sample_id=252 correct=0 latency=5.289s tokens=140 tps=26.47
[94/500] sample_id=256 correct=0 latency=5.353s tokens=143 tps=26.72
[95/500] sample_id=259 correct=1 latency=19.696s tokens=512 tps=25.99
[96/500] sample_id=261 correct=1 latency=2.745s tokens=73 tps=26.59
[97/500] sample_id=263 correct=0 latency=3.719s tokens=99 tps=26.62
[98/500] sample_id=269 correct=1 latency=2.023s tokens=54 tps=26.69
[99/500] sample_id=272 correct=0 latency=2.994s tokens=80 tps=26.72
[100/500] sample_id=275 correct=0 latency=7.288s tokens=195 tps=26.75
[101/500] sample_id=277 correct=1 latency=6.276s tokens=168 tps=26.77
[102/500] sample_id=280 correct=0 latency=3.665s tokens=98 tps=26.74
[103/500] sample_id=289 correct=1 latency=3.413s tokens=91 tps=26.66
[104/500] sample_id=294 correct=1 latency=3.114s tokens=83 tps=26.66
[105/500] sample_id=295 correct=1 latency=19.890s tokens=512 tps=25.74
[106/500] sample_id=296 correct=1 latency=6.835s tokens=182 tps=26.63
[107/500] sample_id=297 correct=0 latency=3.176s tokens=85 tps=26.76
[108/500] sample_id=298 correct=0 latency=5.594s tokens=150 tps=26.81
[109/500] sample_id=299 correct=1 latency=19.850s tokens=512 tps=25.79
[110/500] sample_id=300 correct=1 latency=3.005s tokens=80 tps=26.62
[111/500] sample_id=303 correct=1 latency=4.729s tokens=126 tps=26.65
[112/500] sample_id=304 correct=1 latency=4.249s tokens=113 tps=26.60
[113/500] sample_id=310 correct=1 latency=6.653s tokens=177 tps=26.61
[114/500] sample_id=314 correct=1 latency=3.272s tokens=87 tps=26.59
[115/500] sample_id=320 correct=0 latency=5.186s tokens=138 tps=26.61
[116/500] sample_id=325 correct=1 latency=5.667s tokens=151 tps=26.65
[117/500] sample_id=328 correct=1 latency=4.613s tokens=122 tps=26.45
[118/500] sample_id=331 correct=0 latency=8.425s tokens=221 tps=26.23
[119/500] sample_id=342 correct=1 latency=3.136s tokens=83 tps=26.47
[120/500] sample_id=346 correct=1 latency=4.453s tokens=118 tps=26.50
[121/500] sample_id=347 correct=1 latency=3.175s tokens=84 tps=26.45
[122/500] sample_id=354 correct=1 latency=20.006s tokens=512 tps=25.59
[123/500] sample_id=356 correct=1 latency=4.832s tokens=128 tps=26.49
[124/500] sample_id=361 correct=1 latency=5.241s tokens=139 tps=26.52
[125/500] sample_id=364 correct=1 latency=2.350s tokens=62 tps=26.38
[126/500] sample_id=367 correct=0 latency=6.803s tokens=181 tps=26.61
[127/500] sample_id=368 correct=0 latency=3.157s tokens=84 tps=26.61
[128/500] sample_id=371 correct=1 latency=19.914s tokens=512 tps=25.71
[129/500] sample_id=374 correct=1 latency=19.900s tokens=512 tps=25.73
[130/500] sample_id=376 correct=0 latency=4.231s tokens=112 tps=26.47
[131/500] sample_id=381 correct=1 latency=4.419s tokens=117 tps=26.48
[132/500] sample_id=382 correct=1 latency=3.586s tokens=95 tps=26.50
[133/500] sample_id=383 correct=1 latency=7.160s tokens=190 tps=26.54
[134/500] sample_id=385 correct=1 latency=2.908s tokens=77 tps=26.48
[135/500] sample_id=386 correct=0 latency=3.245s tokens=86 tps=26.50
[136/500] sample_id=387 correct=1 latency=2.755s tokens=73 tps=26.50
[137/500] sample_id=390 correct=1 latency=2.991s tokens=80 tps=26.75
[138/500] sample_id=395 correct=1 latency=3.711s tokens=99 tps=26.68
[139/500] sample_id=396 correct=1 latency=4.303s tokens=114 tps=26.50
[140/500] sample_id=397 correct=1 latency=2.722s tokens=72 tps=26.45
[141/500] sample_id=400 correct=1 latency=2.887s tokens=77 tps=26.67
[142/500] sample_id=401 correct=1 latency=5.129s tokens=137 tps=26.71
[143/500] sample_id=402 correct=1 latency=3.602s tokens=96 tps=26.65
[144/500] sample_id=404 correct=0 latency=3.835s tokens=102 tps=26.60
[145/500] sample_id=405 correct=0 latency=5.948s tokens=158 tps=26.56
[146/500] sample_id=410 correct=0 latency=6.069s tokens=161 tps=26.53
[147/500] sample_id=413 correct=1 latency=7.386s tokens=196 tps=26.54
[148/500] sample_id=419 correct=1 latency=3.586s tokens=95 tps=26.49
[149/500] sample_id=420 correct=1 latency=3.668s tokens=97 tps=26.44
[150/500] sample_id=423 correct=0 latency=8.524s tokens=223 tps=26.16
[151/500] sample_id=426 correct=1 latency=3.892s tokens=103 tps=26.47
[152/500] sample_id=427 correct=0 latency=4.640s tokens=123 tps=26.51
[153/500] sample_id=428 correct=0 latency=8.334s tokens=222 tps=26.64
[154/500] sample_id=434 correct=1 latency=11.283s tokens=299 tps=26.50
[155/500] sample_id=439 correct=0 latency=3.146s tokens=84 tps=26.70
[156/500] sample_id=442 correct=1 latency=6.636s tokens=178 tps=26.82
[157/500] sample_id=454 correct=0 latency=2.249s tokens=60 tps=26.68
[158/500] sample_id=455 correct=1 latency=4.427s tokens=118 tps=26.66
[159/500] sample_id=459 correct=1 latency=20.122s tokens=512 tps=25.45
[160/500] sample_id=462 correct=1 latency=2.083s tokens=55 tps=26.40
[161/500] sample_id=463 correct=1 latency=1.930s tokens=51 tps=26.43
[162/500] sample_id=464 correct=1 latency=3.064s tokens=81 tps=26.44
[163/500] sample_id=473 correct=1 latency=5.851s tokens=155 tps=26.49
[164/500] sample_id=474 correct=1 latency=2.835s tokens=75 tps=26.46
[165/500] sample_id=479 correct=1 latency=4.438s tokens=118 tps=26.59
[166/500] sample_id=480 correct=1 latency=2.918s tokens=78 tps=26.73
[167/500] sample_id=482 correct=1 latency=2.467s tokens=66 tps=26.75
[168/500] sample_id=483 correct=1 latency=6.345s tokens=169 tps=26.64
[169/500] sample_id=485 correct=1 latency=2.588s tokens=69 tps=26.66
[170/500] sample_id=489 correct=1 latency=2.176s tokens=58 tps=26.66
[171/500] sample_id=491 correct=1 latency=3.443s tokens=92 tps=26.72
[172/500] sample_id=492 correct=1 latency=2.361s tokens=63 tps=26.69
[173/500] sample_id=494 correct=0 latency=7.662s tokens=205 tps=26.75
[174/500] sample_id=498 correct=1 latency=3.960s tokens=106 tps=26.76
[175/500] sample_id=503 correct=1 latency=3.292s tokens=88 tps=26.73
[176/500] sample_id=508 correct=0 latency=19.831s tokens=512 tps=25.82
[177/500] sample_id=510 correct=0 latency=6.514s tokens=173 tps=26.56
[178/500] sample_id=512 correct=1 latency=2.796s tokens=74 tps=26.47
[179/500] sample_id=513 correct=1 latency=5.181s tokens=138 tps=26.64
[180/500] sample_id=515 correct=1 latency=3.856s tokens=103 tps=26.71
[181/500] sample_id=520 correct=1 latency=3.808s tokens=102 tps=26.78
[182/500] sample_id=522 correct=0 latency=4.378s tokens=117 tps=26.72
[183/500] sample_id=524 correct=1 latency=3.401s tokens=91 tps=26.76
[184/500] sample_id=525 correct=1 latency=3.974s tokens=106 tps=26.67
[185/500] sample_id=526 correct=0 latency=4.016s tokens=107 tps=26.64
[186/500] sample_id=528 correct=0 latency=5.150s tokens=137 tps=26.60
[187/500] sample_id=531 correct=0 latency=5.896s tokens=157 tps=26.63
[188/500] sample_id=535 correct=1 latency=1.920s tokens=51 tps=26.56
[189/500] sample_id=536 correct=1 latency=2.330s tokens=62 tps=26.60
[190/500] sample_id=537 correct=1 latency=3.498s tokens=93 tps=26.59
[191/500] sample_id=540 correct=1 latency=3.048s tokens=81 tps=26.57
[192/500] sample_id=544 correct=1 latency=2.749s tokens=73 tps=26.56
[193/500] sample_id=547 correct=1 latency=3.654s tokens=97 tps=26.54
[194/500] sample_id=554 correct=1 latency=19.931s tokens=512 tps=25.69
[195/500] sample_id=557 correct=0 latency=4.642s tokens=123 tps=26.50
[196/500] sample_id=560 correct=1 latency=3.134s tokens=83 tps=26.48
[197/500] sample_id=562 correct=1 latency=3.256s tokens=87 tps=26.72
[198/500] sample_id=568 correct=1 latency=2.954s tokens=79 tps=26.75
[199/500] sample_id=571 correct=1 latency=3.626s tokens=97 tps=26.75
[200/500] sample_id=575 correct=0 latency=3.814s tokens=102 tps=26.74
[201/500] sample_id=576 correct=1 latency=3.964s tokens=106 tps=26.74
[202/500] sample_id=578 correct=1 latency=5.398s tokens=144 tps=26.68
[203/500] sample_id=580 correct=0 latency=6.380s tokens=170 tps=26.65
[204/500] sample_id=581 correct=1 latency=3.630s tokens=97 tps=26.72
[205/500] sample_id=583 correct=0 latency=7.094s tokens=190 tps=26.78
[206/500] sample_id=585 correct=1 latency=3.961s tokens=106 tps=26.76
[207/500] sample_id=586 correct=1 latency=4.970s tokens=133 tps=26.76
[208/500] sample_id=587 correct=0 latency=6.805s tokens=182 tps=26.75
[209/500] sample_id=588 correct=1 latency=4.133s tokens=110 tps=26.62
[210/500] sample_id=591 correct=1 latency=3.279s tokens=87 tps=26.54
[211/500] sample_id=599 correct=1 latency=19.765s tokens=512 tps=25.90
[212/500] sample_id=602 correct=1 latency=3.069s tokens=82 tps=26.72
[213/500] sample_id=603 correct=0 latency=4.190s tokens=112 tps=26.73
[214/500] sample_id=605 correct=0 latency=19.809s tokens=512 tps=25.85
[215/500] sample_id=608 correct=1 latency=19.870s tokens=512 tps=25.77
[216/500] sample_id=612 correct=1 latency=3.339s tokens=89 tps=26.65
[217/500] sample_id=613 correct=1 latency=3.366s tokens=90 tps=26.74
[218/500] sample_id=615 correct=0 latency=5.165s tokens=138 tps=26.72
[219/500] sample_id=616 correct=0 latency=2.696s tokens=72 tps=26.71
[220/500] sample_id=618 correct=1 latency=4.682s tokens=125 tps=26.70
[221/500] sample_id=622 correct=1 latency=19.983s tokens=512 tps=25.62
[222/500] sample_id=623 correct=1 latency=3.849s tokens=102 tps=26.50
[223/500] sample_id=624 correct=1 latency=2.903s tokens=77 tps=26.52
[224/500] sample_id=628 correct=1 latency=3.059s tokens=81 tps=26.48
[225/500] sample_id=631 correct=1 latency=6.176s tokens=164 tps=26.55
[226/500] sample_id=640 correct=1 latency=5.229s tokens=139 tps=26.58
[227/500] sample_id=651 correct=1 latency=5.306s tokens=141 tps=26.57
[228/500] sample_id=654 correct=1 latency=6.102s tokens=162 tps=26.55
[229/500] sample_id=655 correct=1 latency=2.228s tokens=59 tps=26.48
[230/500] sample_id=658 correct=1 latency=3.126s tokens=83 tps=26.55
[231/500] sample_id=659 correct=1 latency=4.075s tokens=108 tps=26.50
[232/500] sample_id=660 correct=1 latency=5.090s tokens=136 tps=26.72
[233/500] sample_id=661 correct=1 latency=4.077s tokens=109 tps=26.73
[234/500] sample_id=662 correct=0 latency=4.431s tokens=118 tps=26.63
[235/500] sample_id=665 correct=1 latency=3.444s tokens=92 tps=26.71
[236/500] sample_id=667 correct=1 latency=2.547s tokens=68 tps=26.70
[237/500] sample_id=672 correct=0 latency=16.840s tokens=433 tps=25.71
[238/500] sample_id=673 correct=1 latency=3.062s tokens=81 tps=26.45
[239/500] sample_id=677 correct=1 latency=3.283s tokens=87 tps=26.50
[240/500] sample_id=678 correct=1 latency=3.326s tokens=88 tps=26.46
[241/500] sample_id=681 correct=0 latency=5.582s tokens=148 tps=26.51
[242/500] sample_id=684 correct=1 latency=2.721s tokens=72 tps=26.46
[243/500] sample_id=687 correct=0 latency=4.913s tokens=130 tps=26.46
[244/500] sample_id=690 correct=0 latency=7.280s tokens=193 tps=26.51
[245/500] sample_id=697 correct=1 latency=3.773s tokens=100 tps=26.51
[246/500] sample_id=699 correct=1 latency=2.289s tokens=61 tps=26.65
[247/500] sample_id=700 correct=1 latency=4.932s tokens=132 tps=26.76
[248/500] sample_id=702 correct=1 latency=4.780s tokens=128 tps=26.78
[249/500] sample_id=705 correct=1 latency=3.299s tokens=88 tps=26.67
[250/500] sample_id=706 correct=1 latency=4.348s tokens=116 tps=26.68
[251/500] sample_id=708 correct=1 latency=3.155s tokens=84 tps=26.62
[252/500] sample_id=709 correct=1 latency=19.945s tokens=512 tps=25.67
[253/500] sample_id=711 correct=1 latency=4.083s tokens=108 tps=26.45
[254/500] sample_id=714 correct=1 latency=3.214s tokens=85 tps=26.45
[255/500] sample_id=715 correct=1 latency=3.025s tokens=80 tps=26.45
[256/500] sample_id=716 correct=1 latency=5.769s tokens=153 tps=26.52
[257/500] sample_id=719 correct=1 latency=2.876s tokens=76 tps=26.42
[258/500] sample_id=721 correct=0 latency=20.042s tokens=512 tps=25.55
[259/500] sample_id=726 correct=1 latency=19.853s tokens=512 tps=25.79
[260/500] sample_id=730 correct=0 latency=4.381s tokens=117 tps=26.71
[261/500] sample_id=731 correct=1 latency=6.069s tokens=161 tps=26.53
[262/500] sample_id=732 correct=1 latency=3.743s tokens=99 tps=26.45
[263/500] sample_id=733 correct=1 latency=2.650s tokens=70 tps=26.42
[264/500] sample_id=738 correct=0 latency=4.234s tokens=112 tps=26.45
[265/500] sample_id=739 correct=1 latency=3.851s tokens=102 tps=26.48
[266/500] sample_id=745 correct=1 latency=5.695s tokens=151 tps=26.51
[267/500] sample_id=749 correct=0 latency=19.904s tokens=512 tps=25.72
[268/500] sample_id=750 correct=1 latency=19.847s tokens=512 tps=25.80
[269/500] sample_id=751 correct=1 latency=3.552s tokens=95 tps=26.74
[270/500] sample_id=755 correct=1 latency=2.957s tokens=79 tps=26.72
[271/500] sample_id=756 correct=1 latency=3.935s tokens=105 tps=26.68
[272/500] sample_id=762 correct=1 latency=3.058s tokens=81 tps=26.48
[273/500] sample_id=763 correct=0 latency=19.997s tokens=512 tps=25.60
[274/500] sample_id=770 correct=1 latency=3.098s tokens=82 tps=26.47
[275/500] sample_id=771 correct=1 latency=2.871s tokens=76 tps=26.47
[276/500] sample_id=772 correct=0 latency=3.997s tokens=106 tps=26.52
[277/500] sample_id=773 correct=0 latency=4.611s tokens=122 tps=26.46
[278/500] sample_id=779 correct=1 latency=6.389s tokens=169 tps=26.45
[279/500] sample_id=780 correct=1 latency=10.796s tokens=282 tps=26.12
[280/500] sample_id=782 correct=0 latency=3.931s tokens=105 tps=26.71
[281/500] sample_id=783 correct=1 latency=19.909s tokens=512 tps=25.72
[282/500] sample_id=784 correct=1 latency=3.385s tokens=90 tps=26.59
[283/500] sample_id=786 correct=1 latency=3.186s tokens=85 tps=26.68
[284/500] sample_id=790 correct=0 latency=3.187s tokens=85 tps=26.67
[285/500] sample_id=792 correct=1 latency=4.379s tokens=116 tps=26.49
[286/500] sample_id=796 correct=0 latency=20.005s tokens=512 tps=25.59
[287/500] sample_id=803 correct=0 latency=6.147s tokens=163 tps=26.52
[288/500] sample_id=804 correct=1 latency=3.777s tokens=100 tps=26.48
[289/500] sample_id=807 correct=1 latency=5.499s tokens=146 tps=26.55
[290/500] sample_id=809 correct=1 latency=4.049s tokens=108 tps=26.67
[291/500] sample_id=811 correct=1 latency=3.678s tokens=98 tps=26.65
[292/500] sample_id=812 correct=1 latency=6.451s tokens=172 tps=26.66
[293/500] sample_id=816 correct=1 latency=3.595s tokens=96 tps=26.70
[294/500] sample_id=818 correct=0 latency=4.228s tokens=113 tps=26.73
[295/500] sample_id=820 correct=1 latency=5.014s tokens=134 tps=26.73
[296/500] sample_id=822 correct=1 latency=4.006s tokens=107 tps=26.71
[297/500] sample_id=823 correct=0 latency=3.852s tokens=103 tps=26.74
[298/500] sample_id=825 correct=1 latency=4.911s tokens=131 tps=26.67
[299/500] sample_id=828 correct=1 latency=3.710s tokens=99 tps=26.69
[300/500] sample_id=829 correct=1 latency=6.643s tokens=176 tps=26.49
[301/500] sample_id=831 correct=0 latency=5.397s tokens=143 tps=26.50
[302/500] sample_id=839 correct=1 latency=4.990s tokens=132 tps=26.45
[303/500] sample_id=842 correct=1 latency=2.572s tokens=68 tps=26.43
[304/500] sample_id=844 correct=0 latency=4.569s tokens=121 tps=26.48
[305/500] sample_id=845 correct=1 latency=3.427s tokens=91 tps=26.55
[306/500] sample_id=846 correct=1 latency=4.264s tokens=114 tps=26.73
[307/500] sample_id=847 correct=1 latency=3.743s tokens=100 tps=26.72
[308/500] sample_id=848 correct=1 latency=3.479s tokens=93 tps=26.73
[309/500] sample_id=851 correct=1 latency=3.374s tokens=90 tps=26.68
[310/500] sample_id=852 correct=1 latency=3.786s tokens=101 tps=26.67
[311/500] sample_id=856 correct=1 latency=5.034s tokens=134 tps=26.62
[312/500] sample_id=857 correct=1 latency=4.209s tokens=112 tps=26.61
[313/500] sample_id=860 correct=1 latency=3.276s tokens=87 tps=26.56
[314/500] sample_id=863 correct=1 latency=3.201s tokens=85 tps=26.56
[315/500] sample_id=868 correct=0 latency=5.002s tokens=133 tps=26.59
[316/500] sample_id=869 correct=1 latency=2.869s tokens=76 tps=26.49
[317/500] sample_id=871 correct=1 latency=4.606s tokens=122 tps=26.48
[318/500] sample_id=872 correct=0 latency=19.882s tokens=512 tps=25.75
[319/500] sample_id=874 correct=1 latency=2.680s tokens=71 tps=26.49
[320/500] sample_id=875 correct=1 latency=3.445s tokens=92 tps=26.71
[321/500] sample_id=880 correct=1 latency=3.815s tokens=102 tps=26.74
[322/500] sample_id=883 correct=1 latency=19.755s tokens=512 tps=25.92
[323/500] sample_id=886 correct=1 latency=3.676s tokens=98 tps=26.66
[324/500] sample_id=887 correct=1 latency=2.823s tokens=75 tps=26.57
[325/500] sample_id=888 correct=0 latency=2.866s tokens=76 tps=26.52
[326/500] sample_id=889 correct=1 latency=3.197s tokens=85 tps=26.59
[327/500] sample_id=892 correct=1 latency=3.462s tokens=92 tps=26.57
[328/500] sample_id=893 correct=1 latency=3.125s tokens=83 tps=26.56
[329/500] sample_id=894 correct=0 latency=19.920s tokens=512 tps=25.70
[330/500] sample_id=896 correct=1 latency=4.069s tokens=108 tps=26.55
[331/500] sample_id=898 correct=1 latency=3.932s tokens=105 tps=26.70
[332/500] sample_id=901 correct=0 latency=4.295s tokens=114 tps=26.54
[333/500] sample_id=903 correct=1 latency=4.610s tokens=122 tps=26.47
[334/500] sample_id=906 correct=0 latency=3.871s tokens=103 tps=26.61
[335/500] sample_id=910 correct=1 latency=2.507s tokens=67 tps=26.73
[336/500] sample_id=912 correct=1 latency=3.262s tokens=87 tps=26.67
[337/500] sample_id=913 correct=1 latency=4.716s tokens=126 tps=26.72
[338/500] sample_id=914 correct=1 latency=3.072s tokens=82 tps=26.69
[339/500] sample_id=917 correct=1 latency=2.544s tokens=68 tps=26.73
[340/500] sample_id=921 correct=1 latency=2.697s tokens=72 tps=26.70
[341/500] sample_id=923 correct=1 latency=3.785s tokens=101 tps=26.68
[342/500] sample_id=926 correct=0 latency=6.265s tokens=167 tps=26.66
[343/500] sample_id=932 correct=1 latency=5.377s tokens=143 tps=26.60
[344/500] sample_id=933 correct=1 latency=19.926s tokens=512 tps=25.69
[345/500] sample_id=935 correct=1 latency=8.055s tokens=214 tps=26.57
[346/500] sample_id=937 correct=0 latency=4.294s tokens=114 tps=26.55
[347/500] sample_id=942 correct=0 latency=3.768s tokens=100 tps=26.54
[348/500] sample_id=943 correct=0 latency=19.945s tokens=512 tps=25.67
[349/500] sample_id=944 correct=0 latency=4.503s tokens=119 tps=26.42
[350/500] sample_id=945 correct=1 latency=20.061s tokens=512 tps=25.52
[351/500] sample_id=950 correct=0 latency=10.827s tokens=284 tps=26.23
[352/500] sample_id=951 correct=0 latency=2.440s tokens=65 tps=26.64
[353/500] sample_id=953 correct=1 latency=5.309s tokens=142 tps=26.75
[354/500] sample_id=959 correct=1 latency=3.516s tokens=94 tps=26.73
[355/500] sample_id=960 correct=1 latency=4.448s tokens=119 tps=26.76
[356/500] sample_id=962 correct=0 latency=3.453s tokens=92 tps=26.64
[357/500] sample_id=963 correct=1 latency=8.410s tokens=223 tps=26.52
[358/500] sample_id=967 correct=0 latency=4.085s tokens=108 tps=26.44
[359/500] sample_id=969 correct=1 latency=4.005s tokens=106 tps=26.47
[360/500] sample_id=970 correct=1 latency=2.045s tokens=54 tps=26.41
[361/500] sample_id=974 correct=1 latency=2.911s tokens=77 tps=26.45
[362/500] sample_id=975 correct=1 latency=4.951s tokens=131 tps=26.46
[363/500] sample_id=978 correct=1 latency=3.517s tokens=93 tps=26.44
[364/500] sample_id=979 correct=0 latency=7.472s tokens=198 tps=26.50
[365/500] sample_id=981 correct=1 latency=3.892s tokens=103 tps=26.46
[366/500] sample_id=982 correct=1 latency=4.680s tokens=124 tps=26.50
[367/500] sample_id=983 correct=1 latency=2.836s tokens=75 tps=26.45
[368/500] sample_id=988 correct=1 latency=3.801s tokens=101 tps=26.57
[369/500] sample_id=989 correct=0 latency=3.669s tokens=98 tps=26.71
[370/500] sample_id=990 correct=1 latency=19.828s tokens=512 tps=25.82
[371/500] sample_id=991 correct=1 latency=4.834s tokens=129 tps=26.69
[372/500] sample_id=998 correct=1 latency=3.751s tokens=100 tps=26.66
[373/500] sample_id=999 correct=0 latency=4.981s tokens=132 tps=26.50
[374/500] sample_id=1001 correct=0 latency=4.303s tokens=114 tps=26.49
[375/500] sample_id=1002 correct=1 latency=3.324s tokens=88 tps=26.48
[376/500] sample_id=1003 correct=1 latency=19.990s tokens=512 tps=25.61
[377/500] sample_id=1004 correct=1 latency=3.022s tokens=80 tps=26.47
[378/500] sample_id=1005 correct=1 latency=4.720s tokens=125 tps=26.48
[379/500] sample_id=1006 correct=1 latency=4.429s tokens=118 tps=26.64
[380/500] sample_id=1007 correct=1 latency=3.413s tokens=91 tps=26.66
[381/500] sample_id=1009 correct=0 latency=5.867s tokens=157 tps=26.76
[382/500] sample_id=1014 correct=1 latency=5.971s tokens=159 tps=26.63
[383/500] sample_id=1015 correct=1 latency=4.196s tokens=112 tps=26.69
[384/500] sample_id=1016 correct=0 latency=3.926s tokens=105 tps=26.74
[385/500] sample_id=1017 correct=1 latency=3.669s tokens=98 tps=26.71
[386/500] sample_id=1021 correct=1 latency=7.112s tokens=190 tps=26.71
[387/500] sample_id=1024 correct=1 latency=3.603s tokens=96 tps=26.65
[388/500] sample_id=1026 correct=0 latency=4.602s tokens=122 tps=26.51
[389/500] sample_id=1027 correct=1 latency=4.353s tokens=115 tps=26.42
[390/500] sample_id=1028 correct=1 latency=4.160s tokens=110 tps=26.44
[391/500] sample_id=1041 correct=0 latency=4.086s tokens=108 tps=26.43
[392/500] sample_id=1042 correct=0 latency=5.622s tokens=149 tps=26.50
